,Year,Team,MVP,Player,mvp,prob_mvp,Rank,Correct,logo_url
31,2002,Los Angeles Lakers,Shaquille O'Neal,Shaquille O'Neal,True,0.85,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/LAL-2002.png
32,2001,Los Angeles Lakers,Shaquille O'Neal,Shaquille O'Neal,True,0.6,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/LAL-2001.png
33,2001,Los Angeles Lakers,Shaquille O'Neal,Kobe Bryant,False,0.6,1,False,https://cdn.ssref.net/req/202407241/tlogo/bbr/LAL-2001.png
34,2000,Los Angeles Lakers,Shaquille O'Neal,Shaquille O'Neal,True,0.91,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/LAL-2000.png
35,1999,San Antonio Spurs,Tim Duncan,Tim Duncan,True,0.99,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/SAS-1999.png
36,1997,Chicago Bulls,Michael Jordan,Michael Jordan,True,0.96,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/CHI-1997.png
37,1997,Chicago Bulls,Michael Jordan,Scottie Pippen,False,0.86,2,False,https://cdn.ssref.net/req/202407241/tlogo/bbr/CHI-1997.png
38,1996,Chicago Bulls,Michael Jordan,Michael Jordan,True,0.79,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/CHI-1996.png
39,1995,Houston Rockets,Hakeem Olajuwon,Hakeem Olajuwon,True,0.93,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/HOU-1995.png
40,1994,Houston Rockets,Hakeem Olajuwon,Hakeem Olajuwon,True,0.96,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/HOU-1994.png
41,1993,Chicago Bulls,Michael Jordan,Michael Jordan,True,0.95,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/CHI-1993.png
42,1992,Chicago Bulls,Michael Jordan,Michael Jordan,True,0.97,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/CHI-1992.png
43,1991,Chicago Bulls,Michael Jordan,Michael Jordan,True,0.95,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/CHI-1991.png
44,1991,Chicago Bulls,Michael Jordan,Scottie Pippen,False,0.56,2,False,https://cdn.ssref.net/req/202407241/tlogo/bbr/CHI-1991.png
45,1990,Detroit Pistons,Isiah Thomas,Isiah Thomas,True,0.98,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/DET-1990.png
46,1988,Los Angeles Lakers,James Worthy,Magic Johnson,False,0.97,1,False,https://cdn.ssref.net/req/202407241/tlogo/bbr/LAL-1988.png
47,1987,Los Angeles Lakers,Magic Johnson,Magic Johnson,True,1.0,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/LAL-1987.png
48,1986,Boston Celtics,Larry Bird,Larry Bird,True,0.96,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/BOS-1986.png
49,1985,Los Angeles Lakers,Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,True,0.94,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/LAL-1985.png
50,1985,Los Angeles Lakers,Kareem Abdul-Jabbar,James Worthy,False,0.71,3,False,https://cdn.ssref.net/req/202407241/tlogo/bbr/LAL-1985.png
51,1985,Los Angeles Lakers,Kareem Abdul-Jabbar,Magic Johnson,False,0.83,2,False,https://cdn.ssref.net/req/202407241/tlogo/bbr/LAL-1985.png
52,1984,Boston Celtics,Larry Bird,Larry Bird,True,1.0,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/BOS-1984.png
53,1983,Philadelphia 76ers,Moses Malone,Moses Malone,True,0.97,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/PHI-1983.png
54,1981,Boston Celtics,Cedric Maxwell,Cedric Maxwell,True,0.99,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/BOS-1981.png
55,1981,Boston Celtics,Cedric Maxwell,Larry Bird,False,0.59,2,False,https://cdn.ssref.net/req/202407241/tlogo/bbr/BOS-1981.png
56,1980,Los Angeles Lakers,Magic Johnson,Kareem Abdul-Jabbar,False,0.99,1,False,https://cdn.ssref.net/req/202407241/tlogo/bbr/LAL-1980.png
57,1980,Los Angeles Lakers,Magic Johnson,Magic Johnson,True,0.96,2,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/LAL-1980.png
58,1979,Seattle SuperSonics,Dennis Johnson,Jack Sikma,False,0.87,1,False,https://cdn.ssref.net/req/202407241/tlogo/bbr/SEA-1979.png
59,1978,Washington Bullets,Wes Unseld,Elvin Hayes,False,0.8,1,False,https://cdn.ssref.net/req/202407241/tlogo/bbr/WSB-1978.png
60,1978,Washington Bullets,Wes Unseld,Bob Dandridge,False,0.55,2,False,https://cdn.ssref.net/req/202407241/tlogo/bbr/WSB-1978.png
61,1977,Portland Trail Blazers,Bill Walton,Bill Walton,True,0.91,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/POR-1977.png
62,1977,Portland Trail Blazers,Bill Walton,Bob Gross,False,0.84,2,False,https://cdn.ssref.net/req/202407241/tlogo/bbr/POR-1977.png
63,1976,Boston Celtics,Jo Jo White,Jo Jo White,True,0.98,2,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/BOS-1976.png
64,1976,Boston Celtics,Jo Jo White,Dave Cowens,False,1.0,1,False,https://cdn.ssref.net/req/202407241/tlogo/bbr/BOS-1976.png
65,1975,Golden State Warriors,Rick Barry,Rick Barry,True,0.95,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/GSW-1975.png
66,1974,Boston Celtics,John Havlicek,John Havlicek,True,0.94,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/BOS-1974.png
67,1974,Boston Celtics,John Havlicek,Jo Jo White,False,0.62,2,False,https://cdn.ssref.net/req/202407241/tlogo/bbr/BOS-1974.png
68,1973,New York Knicks,Willis Reed,Bill Bradley,False,0.63,2,False,https://cdn.ssref.net/req/202407241/tlogo/bbr/NYK-1973.png
69,1973,New York Knicks,Willis Reed,Walt Frazier,False,0.93,1,False,https://cdn.ssref.net/req/202407241/tlogo/bbr/NYK-1973.png
70,1972,Los Angeles Lakers,Wilt Chamberlain,Wilt Chamberlain,True,0.99,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/LAL-1972.png
71,1971,Milwaukee Bucks,Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,True,1.0,1,True,https://cdn.ssref.net/req/202407241/tlogo/bbr/MIL-1971.png
72,1971,Milwaukee Bucks,Kareem Abdul-Jabbar,Oscar Robertson,False,0.69,2,False,https://cdn.ssref.net/req/202407241/tlogo/bbr/MIL-1971.png
73,1970,New York Knicks,Willis Reed,Walt Frazier,False,0.99,1,False,https://cdn.ssref.net/req/202407241/tlogo/bbr/NYK-1970.png
74,1969,Boston Celtics,Jerry West,John Havlicek,False,1.0,1,False,https://cdn.ssref.net/req/202407241/tlogo/bbr/BOS-1969.png
